start_station_name,casual_count,member_count
East West Hwy & Blair Mill Rd,2173,2410
Wilson Blvd. & N. Vermont St.,1532,2315
Offutt Ln & Chevy Chase Dr,1656,2299
Utah St & 11th St N,1226,2295
Franklin St & S Washington St,3634,2291
Lee Hwy & N Scott St,1135,2286
Chillum Rd & Riggs Rd / Riggs Plaza,2234,2286
Henry St & Pendleton St,1604,2280
Langston Blvd & N Monroe St,1865,2269
Connecticut Ave & Ordway St NW / Cleveland Park Metro ,1432,2223
W&OD Trail & Langston Blvd,932,2222
Wilson Blvd & N Vermont St,1040,2219
Mount Vernon Ave & Four Mile Run Park,2870,2210
Madison St & N Henry St,1358,2199
18th St & Ingleside Ter NW,948,2177
18th & Monroe St NE,1471,2163
7th & K St NE,951,2157
First St & Fayette St,1966,2124
WAU / Flower Ave & Division St,1919,2118
13th St & Eastern Ave,1115,2113
Prince George's Plaza Metro,3924,2092
GMU / Fairfax Dr & Kenmore St,973,2026
Walter Reed Dr & 8th St S,1668,1966
Barcroft Community Center,2338,1966
N Pershing Dr & N Wayne St,1750,1962
Columbia Pike & S Greenbrier St,1211,1951
Medical Center Metro ,2034,1917
Commonwealth Ave & E Monroe Ave,1753,1908
Langston Blvd & N Woodstock St,1709,1871
16th & K St NW/BLM Plaza,1799,1870
Pennsylvania & Minnesota Ave SE,1055,1862
Minnesota Ave & R St SE,1114,1831
33rd St & Wisconsin Ave NW,1197,1822
Anacostia Roller Skating Pavilion,1994,1819
Broad Branch Rd & Northampton St NW,1026,1815
Columbia Pike & Monroe St,880,1804
14th & Luzon St NW,1321,1795
Mount Vernon Ave & Bruce St,1010,1777
St. Elizabeths West Campus/DHS ,1436,1769
N Pershing Dr & N George Mason Dr,987,1762
Maple & Ritchie Ave,1268,1741
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,1326,1732
Pershing Dr & Wayne St,1698,1691
Columbia Pike & S Orme St,2756,1677
W Columbia St & N Washington St,759,1651
Riverdale Park Town Center,3406,1632
Benning Rd & East Capitol St NE / Benning Rd Metro,1963,1604
Wisconsin Ave & Upton St NW,1179,1593
Montgomery Ave & Waverly St ,1814,1581
39th St & Tunlaw Rd NW,1021,1573
Pershing Dr & N George Mason Dr,1523,1537
Congress Heights Metro,1573,1533
Anacostia Roller Skating Pavillion,2309,1512
The Mall at Prince Georges,2358,1506
Perry & 35th St,1411,1503
Pleasant St & MLK Ave SE,1075,1503
Four Mile Run Dr & S Walter Reed Dr,1403,1494
Anacostia Library,806,1484
Arizona Ave & MacArthur Blvd NW,1636,1466
Wakefield High School,1454,1441
Penrose Sq/Columbia Pike & S Barton St,1052,1436
Park Run & Onyx Dr,1376,1428
16th St & North Carolina Ave NE,522,1427
Silver Spring Transit Center - Top Level,924,1422
8th Rd & S Frederick St,239,1420
Columbia Pike & S George Mason Dr,655,1419
Dunn Loring Metro,2992,1393
North Bethesda Metro,488,1379
Baltimore Ave & Van Buren St / Riverdale Park Station,3389,1375
S Randolph St & Campbell Ave,1671,1370
47th & Elm St,2047,1349
Army Navy Dr & S Nash St,817,1328
Fern St & Army Navy Dr,1004,1321
31st & Water St NW,3133,1319
